image_name,xmin,ymin,xmax,ymax
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,124,160,135,202
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,135,161,150,199
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,220,155,235,193
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,245,154,255,189
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,173,22,190
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,39,173,71,189
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,145,169,177,190
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,203,166,222,183
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,218,164,271,181
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,267,138,374,220
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,24,393,43,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,31,400,42,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,40,376,59,415
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,42,277,52,302
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,59,381,69,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,69,353,86,401
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,84,336,99,383
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,95,335,104,376
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,103,381,111,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,104,327,114,359
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,115,329,128,349
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,140,359,153,385
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,151,360,171,393
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,168,353,178,400
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,192,308,201,338
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,262,328,278,351
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,282,307,289,331
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,310,321,356,339
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,342,331,415,378
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,163,26,166,41
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,168,20,173,41
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,180,23,184,47
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,259,24,282,104
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,281,17,299,80
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,385,32,415,149
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,17,17,32,39
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,81,23,197,97
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,186,26,206,45
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,234,27,253,46
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,251,30,265,39
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,297,34,315,49
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,330,36,386,81
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,386,53,403,77
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,352,151,377,230
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,29,168,47,237
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,55,143,82,182
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,100,155,111,181
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,115,78,126,102
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,117,158,131,199
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,137,158,147,206
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,216,151,222,164
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,237,150,244,169
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,247,151,253,168
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,260,158,276,202
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,316,156,330,203
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,339,150,347,169
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,354,146,361,191
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,394,149,399,167
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,405,161,415,281
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,162,24,190
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,378,156,401,168
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,205,270,225,330
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,237,271,254,336
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,140,319,165,354
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,166,330,175,348
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,173,332,183,350
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,179,327,197,352
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,186,317,192,322
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,193,330,202,351
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,193,326,199,330
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,202,317,205,326
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,202,333,209,343
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,70,236,103,375
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,190,226,207,303
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,203,232,214,308
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,254,227,269,264
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,309,227,327,313
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,179,302,415,414
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,46,0,83,103
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,84,0,131,77
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,128,0,160,59
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,189,0,215,69
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,223,26,239,68
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,246,0,310,127
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,284,89,339,177
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,16,7,392,415
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,4,377,45,415
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,97,346,140,406
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,130,318,179,405
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,239,290,295,382
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,351,303,397,386
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,57,138,202,195
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,403,102,415,128
image_000000037_jpg.rf.2c5e7222506defd6ec249b2184159614,289,0,385,297
image_000000037_jpg.rf.2c5e7222506defd6ec249b2184159614,0,1,296,405
image_000000037_jpg.rf.2c5e7222506defd6ec249b2184159614,161,0,415,210
image_000000038_jpg.rf.8bdfdb40f198d9c7ea256056c626b804,247,226,321,380
image_000000038_jpg.rf.8bdfdb40f198d9c7ea256056c626b804,0,307,92,400
image_000000038_jpg.rf.8bdfdb40f198d9c7ea256056c626b804,57,257,285,341
image_000000040_jpg.rf.8451bc43a4d0030a956fa08f41afa908,113,150,212,390
image_000000040_jpg.rf.8451bc43a4d0030a956fa08f41afa908,390,168,414,213
image_000000040_jpg.rf.8451bc43a4d0030a956fa08f41afa908,342,174,382,207
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,56,116,343,398
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,0,152,90,240
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,0,223,143,415
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,84,167,317,245
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,345,313,415,415
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,388,186,415,237
image_000000049_jpg.rf.56b064968f12607588804bf1f8add5cc,22,170,403,352
image_000000049_jpg.rf.56b064968f12607588804bf1f8add5cc,14,156,45,286
image_000000054_jpg.rf.d052472aac58f593dc9532f1cfaf0545,190,147,409,414
image_000000054_jpg.rf.d052472aac58f593dc9532f1cfaf0545,204,157,248,236
image_000000054_jpg.rf.d052472aac58f593dc9532f1cfaf0545,243,188,290,239
image_000000054_jpg.rf.d052472aac58f593dc9532f1cfaf0545,322,202,370,249
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,164,223,189,337
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,2,209,50,256
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,57,199,90,238
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,91,203,119,237
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,121,199,142,227
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,154,200,175,221
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,180,203,186,218
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,187,198,224,231
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,214,202,238,219
image_000000057_jpg.rf.63d6e4822e6bfb4bb24ee7cd2944b56c,36,187,86,255
image_000000057_jpg.rf.63d6e4822e6bfb4bb24ee7cd2944b56c,305,149,358,290
image_000000057_jpg.rf.63d6e4822e6bfb4bb24ee7cd2944b56c,329,166,350,217
image_000000057_jpg.rf.63d6e4822e6bfb4bb24ee7cd2944b56c,90,189,189,266
image_000000057_jpg.rf.63d6e4822e6bfb4bb24ee7cd2944b56c,229,194,389,282
image_000000057_jpg.rf.63d6e4822e6bfb4bb24ee7cd2944b56c,340,179,361,194
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,220,251,238,306
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,51,251,120,319
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,101,255,121,296
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,101,243,129,318
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,118,255,141,324
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,156,258,164,267
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,157,256,166,269
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,184,253,207,305
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,211,253,227,292
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,402,246,413,281
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,410,250,415,282
image_000000058_jpg.rf.af9ed39710a9519dbe2d6e20bb7ff217,0,255,22,304
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,68,330,104,376
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,35,334,44,347
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,53,327,84,363
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,93,232,127,291
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,186,332,214,378
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,190,107,229,170
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,260,203,298,276
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,273,331,299,381
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,309,223,339,287
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,353,319,380,339
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,396,324,415,395
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,0,370,118,415
image_000000061_jpg.rf.1342691d6ef85cacdf15e96f874f5126,0,340,172,415
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,73,63,91,116
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,100,155,146,294
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,112,96,149,207
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,150,89,187,162
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,290,164,306,253
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,309,177,330,294
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,333,182,348,260
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,357,191,377,291
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,377,204,399,294
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,382,162,411,291
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,403,188,415,287
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,405,171,409,185
image_000000063_jpg.rf.ab3530b2cb58a730eb3c40cc3dcd1c33,2,175,38,229
image_000000083_jpg.rf.c60b8867825be66befb149f3f3842b49,126,169,217,251
image_000000083_jpg.rf.c60b8867825be66befb149f3f3842b49,279,141,343,301
image_000000086_jpg.rf.124e3f47dc93ff15411eb31ecb3ecccc,2,158,19,222
image_000000086_jpg.rf.124e3f47dc93ff15411eb31ecb3ecccc,132,146,170,266
image_000000086_jpg.rf.124e3f47dc93ff15411eb31ecb3ecccc,38,153,104,194
image_000000086_jpg.rf.124e3f47dc93ff15411eb31ecb3ecccc,231,132,386,249
image_000000093_jpg.rf.54a6cfee65a874e6993dd17537a5f3c4,189,149,246,332
image_000000093_jpg.rf.54a6cfee65a874e6993dd17537a5f3c4,41,175,168,245
image_000000093_jpg.rf.54a6cfee65a874e6993dd17537a5f3c4,167,180,242,221
image_000000093_jpg.rf.54a6cfee65a874e6993dd17537a5f3c4,213,188,313,245
image_000000093_jpg.rf.54a6cfee65a874e6993dd17537a5f3c4,314,192,372,223
image_000000093_jpg.rf.54a6cfee65a874e6993dd17537a5f3c4,366,194,398,223
image_000000093_jpg.rf.54a6cfee65a874e6993dd17537a5f3c4,395,197,415,223
image_000000094_jpg.rf.ae6deede28d29c64556c012854f55e56,26,19,408,405
image_000000094_jpg.rf.ae6deede28d29c64556c012854f55e56,105,44,295,415
image_000000095_jpg.rf.3cbd69a080b3ad9363c4837087fbe863,376,181,415,315
image_000000095_jpg.rf.3cbd69a080b3ad9363c4837087fbe863,14,162,38,337
image_000000095_jpg.rf.3cbd69a080b3ad9363c4837087fbe863,22,168,62,359
image_000000095_jpg.rf.3cbd69a080b3ad9363c4837087fbe863,64,162,83,348
image_000000095_jpg.rf.3cbd69a080b3ad9363c4837087fbe863,102,162,134,345
image_000000095_jpg.rf.3cbd69a080b3ad9363c4837087fbe863,178,162,202,356
image_000000095_jpg.rf.3cbd69a080b3ad9363c4837087fbe863,321,138,360,369
image_000000095_jpg.rf.3cbd69a080b3ad9363c4837087fbe863,333,160,384,379
image_000000095_jpg.rf.3cbd69a080b3ad9363c4837087fbe863,352,151,377,362
image_000000101_jpg.rf.1a5a509e0b7da7b2b8b43ad306abf834,188,74,263,370
image_000000101_jpg.rf.1a5a509e0b7da7b2b8b43ad306abf834,0,95,90,220
image_000000101_jpg.rf.1a5a509e0b7da7b2b8b43ad306abf834,42,95,125,191
image_000000101_jpg.rf.1a5a509e0b7da7b2b8b43ad306abf834,234,119,415,306
image_000000101_jpg.rf.1a5a509e0b7da7b2b8b43ad306abf834,241,140,263,158
image_000000101_jpg.rf.1a5a509e0b7da7b2b8b43ad306abf834,259,152,283,161
image_000000101_jpg.rf.1a5a509e0b7da7b2b8b43ad306abf834,282,150,298,163
image_000000105_jpg.rf.aa74f7c1e4ba37e89ac307ee0fc7ea2a,78,274,140,350
image_000000105_jpg.rf.aa74f7c1e4ba37e89ac307ee0fc7ea2a,177,257,227,327
image_000000105_jpg.rf.aa74f7c1e4ba37e89ac307ee0fc7ea2a,332,257,387,316
image_000000105_jpg.rf.aa74f7c1e4ba37e89ac307ee0fc7ea2a,198,264,415,415
image_000000107_jpg.rf.1b43ee6149ad2c76fb98618aa6a8aa4a,339,172,364,235
image_000000107_jpg.rf.1b43ee6149ad2c76fb98618aa6a8aa4a,0,141,13,223
image_000000107_jpg.rf.1b43ee6149ad2c76fb98618aa6a8aa4a,18,153,39,211
image_000000107_jpg.rf.1b43ee6149ad2c76fb98618aa6a8aa4a,90,141,145,350
image_000000107_jpg.rf.1b43ee6149ad2c76fb98618aa6a8aa4a,151,144,185,335
image_000000107_jpg.rf.1b43ee6149ad2c76fb98618aa6a8aa4a,285,161,293,235
image_000000107_jpg.rf.1b43ee6149ad2c76fb98618aa6a8aa4a,385,171,392,209
image_000000107_jpg.rf.1b43ee6149ad2c76fb98618aa6a8aa4a,70,144,195,272
image_000000107_jpg.rf.1b43ee6149ad2c76fb98618aa6a8aa4a,208,165,283,240
image_000000111_jpg.rf.0a30c1cf51a9e16d45ddc05e5b9b4191,140,223,233,329
image_000000111_jpg.rf.0a30c1cf51a9e16d45ddc05e5b9b4191,212,108,415,350
image_000000120_jpg.rf.824419d054c7b28b1bc94c80e3c8c5ab,46,92,143,415
image_000000120_jpg.rf.824419d054c7b28b1bc94c80e3c8c5ab,182,192,257,415
image_000000120_jpg.rf.824419d054c7b28b1bc94c80e3c8c5ab,0,92,206,415
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,349,282,412,377
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,16,271,39,395
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,31,275,52,388
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,67,266,86,379
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,72,271,86,290
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,84,271,96,293
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,96,272,112,292
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,100,272,129,389
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,102,266,123,291
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,126,267,149,294
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,157,272,167,294
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,175,272,205,379
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,224,267,255,382
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,269,256,302,386
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,308,277,331,386
image_000000123_jpg.rf.5005027679cccfa8fa52fc9baf193365,0,290,34,383
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,32,169,64,337
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,0,180,12,209
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,52,174,63,230
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,63,175,77,230
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,75,172,88,246
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,84,173,103,258
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,95,168,103,245
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,103,161,119,256
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,125,168,146,265
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,185,158,205,211
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,211,161,242,292
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,124,162,265,257
image_000000135_jpg.rf.e1062ca739bf12ce26258d35be240b90,157,134,379,280
image_000000148_jpg.rf.59cb11e7fee1e3f84d15ca94942dfa16,158,171,243,252
image_000000148_jpg.rf.59cb11e7fee1e3f84d15ca94942dfa16,214,102,233,120
image_000000148_jpg.rf.59cb11e7fee1e3f84d15ca94942dfa16,247,87,277,131
image_000000148_jpg.rf.59cb11e7fee1e3f84d15ca94942dfa16,0,115,408,415
image_000000148_jpg.rf.59cb11e7fee1e3f84d15ca94942dfa16,389,109,410,123
image_000000148_jpg.rf.59cb11e7fee1e3f84d15ca94942dfa16,399,112,415,123
image_000000152_jpg.rf.3237f5415880197c279a1ab6b742ba2a,23,0,370,306
image_000000152_jpg.rf.3237f5415880197c279a1ab6b742ba2a,0,159,51,246
image_000000152_jpg.rf.3237f5415880197c279a1ab6b742ba2a,0,129,402,415
image_000000153_jpg.rf.2ede2da3b562b8270ddf9e11f9cef47b,20,153,315,415
image_000000153_jpg.rf.2ede2da3b562b8270ddf9e11f9cef47b,0,219,72,321
image_000000153_jpg.rf.2ede2da3b562b8270ddf9e11f9cef47b,32,183,346,346
image_000000168_jpg.rf.f5258bf17fbea25129d7ffdb22350dbd,143,177,149,205
image_000000168_jpg.rf.f5258bf17fbea25129d7ffdb22350dbd,162,177,172,216
image_000000168_jpg.rf.f5258bf17fbea25129d7ffdb22350dbd,227,176,237,216
image_000000168_jpg.rf.f5258bf17fbea25129d7ffdb22350dbd,230,171,245,224
image_000000168_jpg.rf.f5258bf17fbea25129d7ffdb22350dbd,0,0,415,415
image_000000168_jpg.rf.f5258bf17fbea25129d7ffdb22350dbd,20,182,30,190
image_000000168_jpg.rf.f5258bf17fbea25129d7ffdb22350dbd,29,181,39,191
image_000000170_jpg.rf.90347962e45ef5aef8902db90c4ad5b6,62,186,184,270
image_000000170_jpg.rf.90347962e45ef5aef8902db90c4ad5b6,198,192,235,307
image_000000170_jpg.rf.90347962e45ef5aef8902db90c4ad5b6,0,176,41,234
image_000000170_jpg.rf.90347962e45ef5aef8902db90c4ad5b6,36,186,57,228
image_000000170_jpg.rf.90347962e45ef5aef8902db90c4ad5b6,79,189,122,208
image_000000170_jpg.rf.90347962e45ef5aef8902db90c4ad5b6,166,178,391,322
image_000000170_jpg.rf.90347962e45ef5aef8902db90c4ad5b6,166,194,214,219
image_000000170_jpg.rf.90347962e45ef5aef8902db90c4ad5b6,366,189,406,214
image_000000170_jpg.rf.90347962e45ef5aef8902db90c4ad5b6,366,199,415,280
image_000000170_jpg.rf.90347962e45ef5aef8902db90c4ad5b6,392,203,415,227
image_000000172_jpg.rf.299fd27d9c87c0e9d87e81ca673f32dc,0,44,415,360
image_000000172_jpg.rf.299fd27d9c87c0e9d87e81ca673f32dc,61,68,82,202
image_000000172_jpg.rf.299fd27d9c87c0e9d87e81ca673f32dc,104,80,113,132
image_000000172_jpg.rf.299fd27d9c87c0e9d87e81ca673f32dc,112,85,121,130
